Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
dog,3,3.99,4.85,0.66,2.8,1094
dogs,4,3.43,5,0.64,2.8,1367
don't,5,#,#,#,#,5398
done,4,4.39,2,0.69,3.6,7469
dress,5,3.65,4.93,0.62,4.05,10998
dressing,8,2.91,4.03,0.56,5.68,23510
drink,5,4.1,4.76,0.62,3.47,10451
east,4,3.4,3.04,0.67,6.94,6832
effect,6,3.09,1.8,0.68,9.26,3862
elementary,10,2.39,2.24,0.62,6.11,20212
enforcement,11,2.53,2.48,0.62,9.83,19146
engine,6,3.21,4.86,0.64,6.28,17483
England,7,3.26,#,0.67,#,15435
enough,6,4.41,1.33,0.68,6.96,7082
estate,6,3.03,4.11,0.66,10.84,18507
exclamation,11,1.46,2.48,0.37,7.94,21978
excuse,6,4.27,2.29,0.54,6.33,4839
facial,6,2.47,3.62,0.57,10.28,7062
fact,4,3.95,2.72,0.69,6.47,3031
fairy,5,2.93,4.11,0.58,5.17,2790
fall,4,3.78,4.04,0.69,4.71,5109
family,6,4.26,4.23,0.68,3.38,5721
far,3,4.05,2.71,0.69,4.88,3393
fast,4,3.85,3.32,0.67,3.74,5445
fever,5,3.01,3.27,0.59,5.84,9114
few,3,4.19,2.48,0.7,6,880
fiction,7,2.49,2.14,0.64,7.22,16122
figure,6,3.82,3.63,0.67,7.53,7891
fish,4,3.63,5,0.65,4.05,4854
fishing,7,3.08,4.3,0.63,4.72,16754
flag,4,2.95,4.79,0.64,5.33,3276
flight,6,3.48,3.9,0.66,7.47,4850
flip,4,2.86,3.97,0.56,5.11,3747
foil,4,1.8,4.48,0.55,7.57,2372
force,5,3.56,3,0.68,6,5408
forces,6,3.03,2.69,0.67,7.56,9897
fortune,7,3.18,2.9,0.63,9.05,9217
free,4,3.96,2.04,0.69,5.21,5790
fresh,5,3.44,1.97,0.65,6.22,10704
friend,6,4.33,3.07,0.67,3.57,10083
fries,5,2.78,#,0.44,5.79,8994
full,4,3.93,3.59,0.7,4.24,3061
glass,5,3.49,4.82,0.65,4.47,5478
global,6,2.51,2.93,0.66,9.78,6105
going,5,5.04,2.69,0.69,5.41,11525
great,5,4.62,1.81,0.7,5.05,11286
grocery,7,2.45,4.31,0.57,5.72,11968
Guinea,6,2.36,3.7,0.59,9.21,11798
gum,3,2.84,4.89,0.56,4.89,1007
guy,3,4.59,4.68,0.65,4.11,390
hand,4,4.15,4.72,0.69,2.74,6390
hard,4,4.2,3.76,0.68,4.39,4738
hat,3,3.52,4.88,0.61,3.33,5326
have,4,5.5,2.18,0.7,3.72,3429
hay,3,2.51,4.87,0.58,5.32,1568
