Word,Length,LgSUBTLWF,Concreteness_Rating,Semantic_Neighborhood_Density,Age_Of_Acquisition,BG_Sum
able,4,3.91,2.38,0.69,7.79,5602
abnormal,8,2.17,2.14,0.57,10.05,9895
abode,5,1.53,3.92,0.44,12.06,4906
aboriginal,10,1,3.12,0.59,14.75,20180
aborigine,9,0.7,#,0.27,12.56,17964
abortion,8,2.57,3.41,0.58,13.21,17418
above,5,3.4,3.33,0.68,4.55,4212
abrasive,8,1.38,3.03,0.46,12.22,10615
abroad,6,2.4,2.72,0.64,10.15,5195
abrupt,6,1.77,2.27,0.51,10.95,3013
absence,7,2.51,2.31,0.65,7.7,10107
absent,6,2.12,2.7,0.61,6.5,10095
absolute,8,2.76,1.81,0.62,8.53,9228
absolutely,10,3.76,1.97,0.59,7.09,12506
absorb,6,2.01,3.11,0.56,8.83,5028
absorbent,9,0.95,3.1,0.36,10.32,12720
abstain,7,1.43,2.38,0.36,12.95,14486
abstract,8,2.05,1.45,0.61,11.47,12196
absurd,6,2.7,1.64,0.54,10.5,4072
abundance,9,1.66,2.21,0.58,10.45,12189
abundant,8,1.48,2.83,0.58,12.84,12177
abuse,5,2.72,2.71,0.62,8.61,5023
abusive,7,1.92,2.55,0.56,9.58,7464
academic,8,2.38,2.11,0.66,9.74,11594
academy,7,2.8,4.29,0.65,9.05,8030
accelerate,10,1.82,3.48,0.56,10.74,26318
acceleration,12,1.65,2.97,0.58,9.84,33814
accent,6,2.79,3.26,0.57,8.6,10154
accept,6,3.43,3.03,0.65,6.74,4357
acceptable,10,2.43,1.93,0.61,9.84,11836
acceptance,10,2.21,2.21,0.62,8.56,12747
accepted,8,2.9,2.28,0.68,6.74,13237
access,6,3.21,2.71,0.67,9.1,9380
accessory,9,2.17,4.1,0.52,11.15,13550
accident,8,3.62,3.26,0.64,5.3,12955
accompany,9,2.39,3.07,0.59,10.75,10993
accomplish,10,2.48,2.33,0.57,7.84,13835
accomplished,12,2.59,1.7,0.64,7.84,20069
accomplishment,14,1.99,2.5,0.55,9,22489
accord,6,1.92,1.57,0.57,9.65,7543
accordion,9,1.83,4.86,0.56,8.61,16534
accountant,10,2.5,4.41,0.56,11.67,19088
accounting,10,2.36,3.27,0.61,12.05,26301
accumulate,10,1.48,3,0.53,12.3,14961
accuracy,8,1.89,1.85,0.61,9.71,8449
accurate,8,2.6,1.9,0.63,9.44,15385
accusation,10,2.16,2.38,0.55,10.17,20621
accuse,6,2.46,2.25,0.51,9.1,5844
ace,3,2.88,3.92,0.61,8.83,3096
ache,4,2.11,3.43,0.3,5.79,4730
achieve,7,2.57,2.29,0.65,8.53,7701
achievement,11,2.25,2.37,0.62,8.8,17287
aching,6,2.03,2.72,0.29,#,14881
acidic,6,1.08,3.54,0.56,11.21,7465
acknowledge,11,2.5,2.03,0.57,9.11,13331
acne,4,1.67,4.89,0.43,11.4,3744
acorn,5,1.58,4.96,0.48,5.95,7164
acquaintance,12,2.44,3.41,0.56,10.48,21690
acquire,7,2.13,2.93,0.61,9.94,7818
acre,4,1.97,4.18,0.58,9.8,6802
acrid,5,0.48,2.68,0.26,14.07,5980
acrobat,7,1.49,4.46,0.33,8.05,9720
acrobatics,10,1.08,4.36,0.37,9,16890
acronym,7,1.2,2.64,0.56,11.56,9307
across,6,3.68,3.07,0.69,6.64,6819
act,3,3.75,2.46,0.68,6.42,2603
acting,6,3.43,2.54,0.67,6.42,18194
action,6,3.49,2.86,0.69,6.67,14494
actions,7,2.79,#,0.67,6.67,16350
activate,8,2.38,2.97,0.56,11.11,17296
active,6,2.77,3.32,0.68,6.53,10154
activist,8,1.71,3.34,0.6,11.8,15344
activity,8,2.82,2.72,0.67,6.47,11899
actor,5,3.13,4.57,0.64,7.17,6723
actors,6,2.81,#,0.64,7.17,8192
actress,7,2.91,4.54,0.62,6.17,14893
actual,6,2.95,2.22,0.68,6.94,6843
actually,8,4.22,1.37,0.69,7.33,10004
acute,5,2.18,1.92,0.58,11.6,7458
ad,2,2.84,4.46,0.66,8.22,1051
Adam,4,3.28,#,0.66,#,2530
adapt,5,2.13,2.41,0.57,9,2821
add,3,3.23,3,0.65,5.1,1257
added,5,2.69,2.74,0.69,5.1,8343
addict,6,2.44,3.14,0.45,11.17,6565
addicted,8,2.37,2.13,0.47,11.17,15445
addiction,9,2.3,2.85,0.57,12.11,18456
addition,8,2.6,2.89,0.7,5.76,17202
additional,10,2.48,2.43,0.69,9,21693
additionally,12,1.23,2.2,0.68,#,24854
additive,8,1.08,3.56,0.56,12.28,12862
address,7,3.43,3.89,0.66,5.15,12255
adept,5,1.53,2.23,0.5,12.5,4689
adequate,8,2.12,1.97,0.61,10.35,13322
adhere,6,1.48,2.62,0.53,10.78,13542
adhesive,8,1.68,4.35,0.51,9.17,11799
adieu,5,1.98,#,0.24,#,4332
adjacent,8,1.84,3.63,0.64,11.05,11139
adjective,9,1.42,2.43,0.54,8.6,11226
adjust,6,2.46,2.93,0.56,8.43,6300
adjustment,10,2.2,2.81,0.57,9.74,14967
administration,14,2.59,2.78,0.66,11.11,38112
administrator,13,1.93,3.89,0.6,12.22,30341
admirable,9,2.13,1.81,0.43,11.42,12026
admiral,7,2.93,4.11,0.61,8.72,9488
admiration,10,2.03,1.86,0.55,8.95,22496
admire,6,2.86,2.04,0.43,7.42,7856
admission,9,2.26,2.83,0.6,8.84,15647
admit,5,3.48,2.32,0.57,7.56,4682
adobe,5,1.4,4.19,0.56,12.22,2856
adolescence,11,1.65,2.81,0.51,10.42,20197
adolescent,10,1.98,3.48,0.55,11.05,20185
adopt,5,2.38,2.36,0.6,7.83,2753
adoption,8,2.38,3.03,0.62,7.79,14644
adorable,8,2.73,1.86,0.29,6.94,13105
adoration,9,1.49,2.19,0.43,11.8,23575
adore,5,2.6,2.34,0.34,7.95,8935
adored,6,2.1,#,0.38,7.95,13420
adorn,5,0.95,2.38,0.41,11.65,4866
adornment,9,0.7,2.83,0.31,12.32,13528
adrenal,7,1.23,3.28,0.48,14.24,14296
ads,3,2.41,#,0.58,8.22,1466
adultery,8,2,2.79,0.51,11.84,14007
adults,6,2.69,#,0.63,4.68,3822
advance,7,2.91,2.57,0.66,8.35,8102
advanced,8,2.66,1.83,0.67,9.05,12587
advancement,11,1.81,2.1,0.57,10.89,17688
advantage,9,3.05,2,0.67,9.32,11962
adventure,9,2.84,2.59,0.63,5.67,16492
adventurous,11,1.8,1.95,0.49,10,17236
adverb,6,1.04,2.25,0.4,8.14,9447
adversary,9,1.89,2.93,0.54,12.67,14989
adversity,9,1.74,1.44,0.37,11.79,15231
advert,6,1.15,3.08,0.46,14.22,10188
advertise,9,1.93,2.81,0.52,9.63,19755
advertisement,13,1.79,3.77,0.58,7.67,29341
advertising,11,2.58,3.88,0.65,9.95,30236
advice,6,3.39,2.73,0.64,8.61,5813
advise,6,2.8,2.03,0.56,8.89,6679
advisor,7,2.35,4.15,0.6,11.24,8184
advocate,8,2.06,2.72,0.62,11.11,12406
aerosol,7,1.18,4.23,0.44,9.47,11290
aesthetics,10,1.2,2.22,0.56,15.06,19710
afar,4,1.78,2.52,0.42,8.22,3625
affair,6,3.18,2.45,0.63,10.94,2791
affairs,7,2.87,#,0.64,10.94,4260
affect,6,2.76,1.93,0.63,9.6,3647
affection,9,2.64,2.22,0.57,8.53,15538
affectionate,12,2.06,2.28,0.44,8.5,25541
affirm,6,1.26,1.96,0.45,12.24,2827
affirmative,11,2.38,1.93,0.53,10.67,16239
affluent,8,1.2,1.83,0.56,13.16,8926
afford,6,3.36,1.83,0.58,7.47,4607
afraid,6,4.1,2.7,0.58,4.42,5485
African,7,2.54,#,0.67,#,11062
afternoon,9,3.67,3.7,0.62,4.65,17753
aftershave,10,1.75,4.56,0.22,10.42,17142
afterwards,10,2.85,2.14,0.67,7.71,15693
again,5,4.61,2,0.69,5.79,9212
against,7,4.01,1.8,0.68,7.97,14633
aged,4,2.27,3.14,0.63,#,6480
ageless,7,1.2,2.03,0.28,10.3,13205
agency,6,3,3.87,0.66,10.58,7385
agenda,6,2.57,2.66,0.59,9.95,8107
agent,5,3.72,3.61,0.66,9.55,8829
aggravate,9,1.58,2.26,0.32,8.32,14307
aggression,10,2.16,2.68,0.57,9.3,21185
aggressive,10,2.61,2.54,0.63,8.32,16845
aghast,6,0.9,1.96,0.27,12,7421
agile,5,1.32,2.31,0.49,11.94,6210
agility,7,1.38,2.38,0.52,10.06,8421
aging,5,2.12,2.88,0.6,7.35,12176
agitate,7,1.36,2.93,0.27,10.17,13992
agitated,8,2.11,2.57,0.44,10.12,18477
agnostic,8,1.3,2,0.39,13.8,13306
ago,3,4.16,1.42,0.64,7.12,1145
agony,5,2.28,2.38,0.47,9.22,5907
agree,5,3.52,2.31,0.63,7.68,6944
agreeable,9,1.91,2.07,0.36,8.41,14361
agreed,6,3.26,1.93,0.67,7.68,11429
agreement,9,2.95,2.22,0.66,8.16,16530
agriculture,11,1.76,3.67,0.63,10.32,15396
ahoy,4,2.28,2,0.23,7.61,1401
aide,4,2.02,3.59,0.56,7.83,4366
aids,4,1.74,3.44,0.62,8.89,2180
ailment,7,1.43,2.93,0.4,10.37,11031
aim,3,2.88,3.27,0.65,6.72,1805
aimless,7,1.18,1.57,0.25,10.32,11318
aircraft,8,2.68,4.4,0.65,7.61,6458
airless,7,0.78,3,0.21,10,11487
airline,7,2.52,4,0.6,8.74,13929
airplane,8,2.75,4.96,0.59,3.94,10550
airport,7,3.29,4.87,0.63,6.84,6828
airship,7,1.49,4.92,0.53,10.8,6104
airy,4,1.23,2.04,0.41,10.28,2362
aisle,5,2.58,4.35,0.49,5.95,7524
alarm,5,3.18,4.47,0.58,6.39,8631
alas,4,2.29,1.56,0.42,9.78,6535
Alaska,6,2.35,#,0.61,#,6875
Albert,6,2.98,#,0.65,#,11152
album,5,2.72,4.69,0.65,6.72,4277
alchemy,7,1.08,2.1,0.49,13.35,7522
alcohol,7,2.93,4.76,0.62,9,8157
alcoholic,9,2.5,3.37,0.57,9.95,13197
alcoholism,10,1.64,2.93,0.56,11.6,14190
ale,3,2.31,4.65,0.53,10.16,6480
alert,5,3.02,2.59,0.58,8.9,13645
algae,5,1.36,4.93,0.57,13.33,3790
algebra,7,1.96,3.14,0.58,11.47,8251
algorithm,9,1.45,3.07,0.59,14.56,12684
alibi,5,2.63,2.57,0.41,12.5,6807
alien,5,2.95,3.52,0.63,7.5,10881
aliens,6,2.69,3.86,0.59,8.58,12737
align,5,1.54,2.79,0.49,9.85,6874
alike,5,2.76,2.38,0.6,6.12,6800
alive,5,3.9,3.14,0.65,5.11,8586
all,3,5.42,2.27,0.7,4.24,4681
allegiance,10,2.2,1.77,0.56,8.42,16742
allergic,8,2.62,2.55,0.53,7.72,17435
allergies,9,2.15,#,0.48,8.11,20885
allergy,7,1.94,3.68,0.48,8.11,14700
alley,5,2.92,4.82,0.58,7.26,8333
alliance,8,2.67,2.5,0.65,11.28,15062
alligator,9,2.25,4.96,0.46,4.78,17162
allow,5,3.36,2.41,0.68,5.32,6836
allowance,9,2.43,3.07,0.53,6.95,14013
alloy,5,1.72,4.29,0.57,14.53,6289
allspice,8,0.6,4.54,0.33,#,10670
allure,6,1.49,1.92,0.33,11.83,11158
ally,4,3.22,2.61,0.59,9.61,6225
Almighty,8,2.65,1.9,0.48,8.47,6872
almond,6,1.76,4.71,0.47,7.67,10501
almonds,7,1.85,#,0.46,7.67,10916
almost,6,3.99,1.66,0.7,5.47,8543
aloe,4,1.2,4.83,0.31,8.95,4679
alone,5,4.2,2.86,0.67,4.94,11414
along,5,3.97,2.14,0.7,5.41,13058
alongside,9,2.29,2.82,0.67,#,18476
aloof,5,1.53,1.46,0.37,13.41,5659
aloud,5,1.98,3.1,0.52,6.22,6565
alpha,5,2.62,1.81,0.62,12.22,4844
alphabet,8,2.11,4.31,0.56,4.22,8062
Alpine,6,1.82,3.7,0.57,11.28,13138
Alps,4,1.8,#,0.57,#,3453
already,7,4.21,1.64,0.69,#,10647
alright,7,3.61,1.93,0.46,6.28,7592
also,4,4.02,1.83,0.7,6.64,4261
altar,5,2.42,4.85,0.57,7.16,8277
alter,5,2.39,3.07,0.6,9.47,13992
alteration,10,1.57,3.21,0.56,10.17,33174
alternate,9,2.26,2.43,0.65,8.83,24468
alternative,11,2.68,2.46,0.68,10.11,27624
alternatively,13,0.78,1.92,0.61,#,30902
although,8,3.33,1.07,0.7,8.08,8419
altitude,8,2.3,2.96,0.58,9.58,14086
alto,4,1.85,3.37,0.56,10.19,4801
altruism,8,1.08,1.5,0.39,15.79,9508
aluminum,8,2.06,4.88,0.58,7.26,13443
always,6,4.52,1.71,0.69,6.26,4411
am,2,4.75,1.96,0.67,5.11,945
amass,5,0.6,2.28,0.34,12,5648
amateur,7,2.53,2.31,0.63,10.53,12704
amaze,5,1.92,2,0.23,7.5,3233
amazement,9,1.57,1.89,0.34,9.22,12819
amazing,7,3.62,1.55,0.6,5.22,13668
Amazon,6,2.17,#,0.57,#,7374
ambassador,10,2.84,4.28,0.61,11,10304
amber,5,2.68,4.35,0.58,9.28,8395
ambiance,8,0.95,2.31,0.34,14.78,9624
ambient,7,1.43,2.04,0.57,12.8,10078
ambiguous,9,1.58,1.48,0.57,13.67,6405
ambition,8,2.44,1.74,0.57,11.29,16059
ambitious,9,2.39,1.81,0.6,11.05,14596
amble,5,0.78,3.17,0.22,11.87,5971
ambulance,9,3.06,4.81,0.56,6.16,11460
ambush,6,2.44,3.16,0.57,9.3,4656
Amen,4,3.12,1.78,0.42,5.8,6502
amend,5,1.59,2.32,0.52,11.39,8264
amiable,7,1.49,2.39,0.34,13.11,9039
amid,4,1.66,2.27,0.58,11.45,3163
amino,5,1.51,2.74,0.59,13.78,10011
ammo,4,2.44,4.85,0.41,8.11,2291
ammunition,10,2.48,4.88,0.6,9.67,19125
amoeba,6,1.23,3.77,0.28,12.65,3071
amok,4,1.43,2,0.3,#,2138
among,5,3.24,2.38,0.7,7.75,10434
amongst,7,2.56,2.81,0.67,9.01,14272
amorphous,9,0.9,2.15,0.49,14.75,9820
amount,6,3.1,2.74,0.67,6.63,8458
amp,3,1.97,3.59,0.5,12.11,1823
amphibian,9,1.32,3.77,0.42,8.33,9074
ample,5,1.97,2.5,0.55,11.63,6016
amplifier,9,1.23,4.79,0.56,11.35,14066
amplify,7,1.3,2.96,0.4,12.06,5965
amuse,5,2.13,2.57,0.33,9,4800
amusement,9,2.28,2.07,0.57,8.79,14386
amusing,7,2.67,2.14,0.51,8.44,15281
an,2,4.98,1.46,0.7,2.89,3483
anagram,7,1.43,3.63,0.32,11.38,10497
anal,4,2.14,3.3,0.51,13.17,7974
analogy,7,1.77,1.61,0.56,11.33,10084
analysis,8,2.75,2.56,0.66,11.32,14209
analytical,10,1.49,1.86,0.57,12.44,21501
analyze,7,2.22,2.3,0.57,11.39,10035
anarchy,7,2.02,2.12,0.51,13.94,10073
anatomy,7,2.22,3.59,0.57,11.94,11774
ancestor,8,1.94,3.24,0.57,8.61,18687
ancestors,9,2.45,3.36,0.59,9.01,20156
ancestry,8,1.4,2.83,0.57,10.11,16889
anchor,6,2.58,4.77,0.61,5.72,10346
ancient,7,3.04,2.04,0.66,8.26,13954
anecdote,8,1.75,2.64,0.42,14.33,12951
anew,4,1.65,1.72,0.42,10.58,6067
angel,5,3.6,3.82,0.64,4,10347
angelic,7,1.48,2.22,0.43,8.33,15387
angels,6,2.87,#,0.61,4,10762
anger,5,3,2.41,0.6,6,14775
angle,5,2.88,3.5,0.61,8.05,11254
angles,6,2.22,3.59,0.58,8.05,15743
angry,5,3.48,2.53,0.62,4.45,8784
angst,5,1.68,1.96,0.39,13.12,11240
anguish,7,2.05,2.38,0.43,11.54,12269
animal,6,3.37,4.61,0.66,2.89,10631
animals,7,3.3,#,0.66,2.89,11046
animate,7,0.6,3.04,0.4,8.53,16143
animation,9,1.8,3.41,0.61,8.53,23639
ankle,5,2.61,4.81,0.57,4.89,7322
annihilate,10,1.57,2.75,0.38,11.32,18476
anniversary,11,2.97,3.15,0.62,7.33,20107
announce,8,2.7,3.31,0.56,9.48,11209
announcement,12,2.72,2.79,0.6,7.75,20795
annoy,5,2.11,1.93,0.32,7.22,4787
annoyance,9,1.42,2.14,0.44,9.47,11414
annoyed,7,2.25,2.89,0.54,7.72,9454
annoying,8,2.75,2.31,0.48,6.52,15745
annual,6,2.57,1.78,0.66,9.26,7621
annually,8,1.42,2.77,0.63,#,10782
anonymous,9,2.63,2.03,0.6,10.26,13293
anorexia,8,1.15,3.41,0.43,13.11,13447
another,7,4.42,2.69,0.7,5.05,14421
answer,6,3.95,2.89,0.64,5.43,12181
answers,7,3.18,#,0.6,5.43,13650
ant,3,2.44,4.86,0.55,4.32,6501
Antarctic,9,1.51,4.21,0.57,#,19983
anteater,8,1.08,4.86,0.25,8.5,27449
antecedent,10,0.6,#,0.36,15.29,27750
antelope,8,1.71,5,0.49,8.39,16513
antenna,7,2.09,4.75,0.57,7.05,16505
anterior,8,1.69,3.5,0.59,14.12,25194
anthem,6,1.99,3.36,0.57,9.44,10584
anthropology,12,1.83,2.41,0.58,14.61,15451
antibiotic,10,1.53,4.43,0.57,9.53,22770
antibiotics,11,2.27,4.45,0.56,9.55,22871
anticipate,10,2.11,1.54,0.44,10.6,24756
anticipation,12,2.11,1.93,0.55,10,32252
antidote,8,2.35,3.42,0.42,10.11,18012
antiquated,10,1.46,2.22,0.4,13.57,25351
antique,7,2.49,3.75,0.56,8.05,12256
antiques,8,2.14,4.22,0.49,11.05,16745
antiseptic,10,1.65,3.85,0.33,9.95,24174
antisocial,10,1.62,1.86,0.44,11.47,20638
antler,6,1.2,4.86,0.31,6.39,16499
ants,4,2.56,#,0.56,4.32,7507
anus,4,1.76,4.86,0.43,11.17,5222
anvil,5,1.52,4.96,0.42,10.79,5913
anxiety,7,2.54,2.21,0.57,8.17,6949
anxious,7,2.86,1.68,0.55,10.21,9291
any,3,4.75,1.72,0.69,6,3639
anybody,7,4.06,2.67,0.56,5.11,5134
anyone,6,4.12,2.7,0.65,5.36,10608
anything,8,4.67,1.38,0.66,6.12,16909
anyway,6,4.09,1.68,0.59,6.31,4763
anywhere,8,3.65,2.21,0.62,#,16361
apartheid,9,1.3,#,0.56,15.44,10167
apartment,9,3.63,4.9,0.62,7.8,14606
apartments,10,2.33,4.71,0.57,6.56,15612
apathetic,9,1.28,1.62,0.3,14.6,17647
apathy,6,1.4,2.04,0.41,14.21,7724
ape,3,2.69,4.79,0.51,5.89,2536
apex,4,1.64,3.41,0.55,12.58,3140
apocalypse,10,2.1,2.21,0.56,12.78,11459
apologize,9,3.4,2.63,0.5,5.67,6899
apology,7,2.91,2.86,0.56,5.56,5356
apostle,7,1.86,3.22,0.56,9.5,10194
apparel,7,1.56,4.6,0.55,10.8,11718
apparent,8,2.33,1.73,0.66,10.25,16818
apparition,10,1.6,2.46,0.42,11.94,22384
appeal,6,2.82,1.73,0.64,10.21,7921
appealing,9,2.21,2.17,0.56,#,21483
appear,6,3.08,3.13,0.68,6.67,7822
appearance,10,2.77,2.57,0.68,8.83,17445
appendage,9,1.34,4.26,0.35,11.58,11149
appendix,8,2.13,4.25,0.49,10.56,10544
appetite,8,2.66,2.74,0.5,8.83,15745
appetizer,9,1.79,4.71,0.36,9.06,16435
applaud,7,2.04,3.8,0.29,7.1,5000
applause,8,2.76,4.29,0.48,6.2,8142
apples,6,2.63,#,0.57,4.15,10061
appliance,9,1.62,4.57,0.53,8.78,12537
application,11,2.71,3.4,0.66,9.39,25071
apply,5,2.81,2.5,0.64,9.21,3700
appoint,7,2.02,2.24,0.57,10.29,12717
appointment,11,3.19,3,0.62,7.53,21384
appraisal,9,1.6,3.11,0.5,12.94,13311
appraise,8,1.04,1.73,0.25,14.52,11542
appreciate,10,3.64,2.23,0.56,8.8,19249
appreciation,12,2.42,1.63,0.58,8.5,26745
apprehend,9,1.87,2.82,0.4,11.47,14725
apprehension,12,1.6,1.68,0.42,11.25,23631
apprehensive,12,1.46,1.97,0.34,11.45,19291
apprentice,10,2,3.67,0.57,10.58,22800
approach,8,3.03,2.74,0.68,8.5,8267
appropriate,11,2.82,2,0.66,9.16,19531
approval,8,2.63,2.33,0.63,7.95,8938
approve,7,2.76,1.85,0.56,7.89,7308
approximate,11,1.81,2.03,0.57,10.7,16249
approximately,13,2.58,2.54,0.66,#,19527
apricot,7,1.52,4.97,0.36,6.15,10761
April,5,3.02,3.33,0.68,#,6523
apron,5,2.14,4.87,0.44,6.75,8966
apt,3,1.95,1.78,0.48,12.5,1236
aptitude,8,1.75,1.54,0.48,12.39,11887
aquarium,8,2.15,4.77,0.56,6.84,7521
Arab,4,2.24,#,0.63,#,7081
Arabic,6,2.24,3.43,0.61,#,9989
arachnid,8,1.15,4.65,0.21,11.88,11472
arc,3,2.39,4.14,0.62,9.42,3397
arcade,6,2.05,4.74,0.58,7.79,8852
arch,4,2.28,4.59,0.59,8.26,4914
archaic,7,1.56,2.23,0.56,14.5,9270
archery,7,1.61,3.93,0.51,9.06,13459
architect,9,2.53,3.74,0.62,10.12,15013
architecture,12,2.21,3.59,0.65,10.06,21648
Arctic,6,2,3,0.59,7.79,11605
arduous,7,1.54,#,0.42,13.92,7171
are,3,5.42,1.96,0.7,5.11,7507
area,4,3.58,3.72,0.68,6.58,9322
arena,5,2.27,4.83,0.63,9.57,12750
argue,5,3,2.75,0.63,4.61,4051
argument,8,2.94,2.85,0.64,7.55,12853
argumentative,13,1.59,2.36,0.29,11.5,26462
arid,4,1.23,2.96,0.56,11.38,6685
Aries,5,1.18,#,0.38,#,11581
arise,5,2.18,3.17,0.6,6.89,10629
aristocracy,11,1.52,2.97,0.56,11,19724
aristocrat,10,1.85,3.76,0.47,11.88,22265
arithmetic,10,1.9,2.74,0.57,7.16,19582
Arizona,7,2.75,#,0.63,#,12507
arm,3,3.52,4.96,0.65,3.26,3548
armada,6,1.75,4.04,0.5,13.53,6813
armchair,8,1.34,5,0.34,6.56,7947
armor,5,2.57,4.76,0.6,7.17,7266
armpit,6,1.81,4.8,0.29,6,7424
arms,4,3.48,4.97,0.66,3.74,3745
army,4,3.64,4.7,0.66,7.15,3648
aroma,5,1.85,3.67,0.48,9.47,8005
aromatic,8,1.18,3.04,0.56,11.05,19255
around,6,4.58,1.96,0.7,5.95,10401
arousal,7,1.3,2.83,0.46,12.94,12051
arouse,6,1.8,2.85,0.34,12.63,10282
arrange,7,2.9,2.79,0.57,8.28,15266
arrangement,11,2.68,2.3,0.65,9.89,24852
array,5,2.04,2.54,0.62,10.79,7076
arrest,6,3.48,3.93,0.63,7.47,16139
arrested,8,3.25,#,0.63,7.47,25019
arrival,7,2.63,3.07,0.66,8.06,10821
arrive,6,2.98,3.22,0.63,6.26,9191
arrogance,9,2.16,1.74,0.44,11.72,13319
arrogant,8,2.43,2.07,0.51,9.95,13307
arrow,5,2.6,4.97,0.6,6.07,6372
arrows,6,2.24,#,0.57,6.07,6484
arsenic,7,1.81,4.29,0.52,11.83,14091
artery,6,2.44,4.48,0.55,13.06,15159
arthritis,9,2,3.5,0.57,11.67,18128
Arthur,6,3.23,#,0.66,#,6935
article,7,3,4.33,0.68,8.61,15032
articulate,10,1.94,2.2,0.48,13,23324
artifact,8,1.76,4.5,0.55,10.33,12279
artificial,10,2.39,2.93,0.63,10.16,17510
artillery,9,2.45,4.31,0.61,10.68,22006
artisan,7,0.78,3.03,0.43,12.95,15723
artist,6,3.17,4.24,0.66,6.78,15069
artistic,8,2.4,2.14,0.64,9.17,22138
arts,4,2.67,3.75,0.65,5.97,4974
ascend,6,1.68,2.66,0.45,10.67,9539
ascertain,9,1.7,2.11,0.47,12.68,20817
ash,3,2.67,4.96,0.6,6.63,2747
ashamed,7,3.15,1.74,0.46,7.11,11063
ashes,5,2.7,4.92,0.57,7.06,8985
ashtray,7,2.22,4.97,0.24,5.95,8304
Asia,4,2.43,#,0.65,#,4270
Asian,5,2.44,#,0.63,#,7753
aside,5,3.08,2.21,0.66,7.9,6597
ask,3,4.39,2.52,0.63,2.89,1678
askew,5,1.18,3.04,0.36,11,2885
asking,6,3.82,#,0.63,2.89,12918
asleep,6,3.41,3.71,0.56,4.47,6842
asparagus,9,1.71,4.96,0.4,6.79,12083
aspect,6,2.3,1.82,0.64,10.35,6385
asphalt,7,1.7,4.83,0.54,8.89,7413
asphyxiate,10,0.95,3.74,0.17,13.06,12928
aspiration,10,1.48,1.81,0.44,11.47,23093
aspire,6,1.75,1.53,0.38,11.83,8453
aspirin,7,2.6,4.76,0.46,7.95,13680
ass,3,4.06,4.67,0.53,7.84,3023
assassin,8,2.48,4.43,0.57,11.28,15375
assassination,13,2.45,3.8,0.6,9.05,32874
assault,7,2.95,3.41,0.63,10.21,5633
assemble,8,2.22,3.67,0.55,8.72,11091
assembly,8,2.39,3.79,0.64,6.94,9219
assert,6,1.64,2.03,0.56,10.83,12219
assertive,9,1.38,2.07,0.36,10.44,19770
assess,6,1.92,2.26,0.57,11.37,11114
assessment,10,2.2,2.11,0.62,11.95,20215
asset,5,2.29,2.92,0.59,11.79,6408
assets,6,2.42,3.52,0.62,11.79,7414
asshole,7,3.5,4.08,0.28,9.52,10226
assign,6,2.14,2.86,0.55,8.56,5783
assignment,10,2.96,3.86,0.61,7,14445
assimilate,10,1.43,2.17,0.39,12.95,19006
assist,6,2.6,2.52,0.65,8.75,11045
assistance,10,2.75,2.25,0.66,8.84,19435
assistant,9,3.22,4.07,0.65,8.61,19423
associate,9,2.66,3.41,0.64,10.83,15136
associated,10,2.3,2.12,0.69,10.83,19621
association,11,2.62,2.3,0.67,10.76,22632
assortment,10,1.58,2.5,0.54,8.72,16229
assume,6,3.23,1.75,0.62,8.21,6254
assumption,10,2.23,1.84,0.6,10.2,17645
assurance,9,2.02,1.76,0.56,12.33,14860
assure,6,3.01,2.43,0.57,12.06,9779
assured,7,2.5,2.21,0.58,12.06,14264
asteroid,8,1.94,4.86,0.54,8.6,18913
asthma,6,2.3,3.71,0.55,10.39,8099
astonish,8,1.38,1.7,0.22,12.21,16561
astonishing,11,1.94,1.68,0.49,9.11,28461
astonishment,12,1.18,2.92,0.34,10.11,25215
astound,7,1.36,1.93,0.17,12.41,11676
astounding,10,1.83,1.69,0.42,#,24367
astringent,10,0.85,3.21,0.33,13.89,28438
astrology,9,1.68,2.48,0.56,9.53,12256
astronaut,9,2.31,4.75,0.55,6.28,16291
astronomy,9,1.83,3.03,0.57,9,15570
asylum,6,2.37,4.41,0.58,13.1,2984
atheism,7,0.78,2.23,0.51,12.69,10848
atheist,7,1.75,2.93,0.5,12.18,13887
athlete,7,2.37,4.3,0.58,7.11,14740
athletic,8,2.3,2.69,0.62,8.55,17414
athletics,9,1.52,3.65,0.6,8.35,17515
atlas,5,1.72,4.79,0.58,7.9,8072
atmosphere,10,2.69,3.04,0.63,9.79,19916
atom,4,2.15,3.34,0.57,9.68,6764
atomic,6,2.4,2.93,0.61,10.16,10428
atoms,5,1.95,#,0.58,9.68,6961
atop,4,1.72,3.24,0.58,#,6298
attach,6,2.1,3.33,0.55,6.39,9711
attached,8,2.8,3.23,0.65,6.39,15945
attachment,10,1.78,3.04,0.58,10.11,18365
attain,6,1.68,2.18,0.57,10.84,14544
attempt,7,2.99,2.22,0.68,7.7,11500
attend,6,2.86,3.17,0.63,7.72,14826
attendance,10,2.13,3.07,0.61,7.11,21873
attention,9,3.7,2.3,0.68,6.78,27973
attentive,9,1.83,1.78,0.34,9.37,23633
Attic,5,2.6,4.53,0.56,5.15,11922
attire,6,1.89,4.47,0.56,11.22,14981
attitude,8,3.12,1.97,0.63,6.78,15504
attorney,8,3.31,4.52,0.62,10.95,11957
attract,7,2.46,2.73,0.61,8.78,12254
attraction,10,2.54,2.24,0.62,9.61,24145
