"code","task","A1_B1","A1_B2","A2_B1","A2_B2","trial","type","age","Gender","Ethnicity","education","languages","Language","first.language","Disorders","Device","Distraction","Honesty"
40335,2,10,10,10,8,3,"strict",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40335,2,10,10,10,10,3,"lenient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40348,2,10,10,10,10,3,"lenient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40348,2,9,10,10,10,3,"strict",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40370,1,1,5,2,1,3,"strict",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40370,1,1,5,2,1,3,"strict",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40370,1,1,5,2,1,3,"lenient",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40370,1,1,5,2,1,3,"lenient",21,"male","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40373,1,5,3,5,6,3,"strict",22,"male","Chinese","bachelor",2,"Chinese","yes","no","computer","no","no"
40373,1,5,3,5,7,3,"lenient",22,"male","Chinese","bachelor",2,"Chinese","yes","no","computer","no","no"
40375,1,10,7,10,8,3,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
40375,1,10,7,10,8,3,"lenient",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40375,1,10,7,10,7,3,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer","not significant","no"
40375,1,10,7,10,7,3,"strict",19,"female","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40376,2,10,9,10,9,3,"lenient",19,"female","Chinese","jc",2,"Mandrin","yes","no","computer","no","no"
40376,2,9,8,8,9,3,"strict",19,"female","Chinese","jc",2,"Mandrin","yes","no","computer","no","no"
40391,2,8,7,9,10,3,"strict",17,"female","prefer not","jc",4,"chinese, hindi, marathi","yes","no","computer","not significant","no"
40391,2,8,7,9,10,3,"strict",17,"female","prefer not","jc",4,"chinese, hindi, marathi","yes","no","computer","not significant","no"
40391,2,10,9,10,10,3,"lenient",17,"female","prefer not","jc",4,"chinese, hindi, marathi","yes","no","computer","not significant","no"
40391,2,10,9,10,10,3,"lenient",17,"female","prefer not","jc",4,"chinese, hindi, marathi","yes","no","computer","not significant","no"
40402,2,10,9,10,10,2,"lenient",24,"male","Chinese","bachelor",2,"Chinese ","yes","no","computer","no","no"
40402,2,10,9,10,10,2,"lenient",24,"male","Chinese","bachelor",2,"Chinese ","yes","no","computer","no","no"
40402,2,9,8,10,10,1,"strict",24,"male","Chinese","bachelor",2,"Chinese ","yes","no","computer","no","no"
40402,2,9,8,10,10,1,"strict",24,"male","Chinese","bachelor",2,"Chinese ","yes","no","computer","no","no"
40416,2,10,9,10,10,3,"strict",20,"female","Indian","jc",2,"Tamil","yes","no","computer","no","no"
40416,2,10,9,10,10,3,"strict",20,"female","Indian","jc",2,"Tamil","yes","no","computer","no","no"
40416,2,10,10,10,10,3,"lenient",20,"female","Indian","jc",2,"Tamil","yes","no","computer","no","no"
40416,2,10,10,10,10,3,"lenient",20,"female","Indian","jc",2,"Tamil","yes","no","computer","no","no"
40417,2,10,10,10,10,3,"lenient",20,"female","Indian","jc",3,"Tamil, Hindi","yes","no","computer","not significant","no"
40417,2,10,10,10,10,3,"lenient",20,"female","Indian","jc",3,"Tamil, Hindi","yes","no","computer","not significant","no"
40417,2,8,10,9,10,3,"strict",20,"female","Indian","jc",3,"Tamil, Hindi","yes","no","computer","not significant","no"
40417,2,8,10,9,10,3,"strict",20,"female","Indian","jc",3,"Tamil, Hindi","yes","no","computer","not significant","no"
40418,2,10,10,10,10,3,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40418,2,10,10,10,10,3,"strict",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40418,2,10,10,10,10,3,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40418,2,10,10,10,10,3,"lenient",19,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40427,1,7,8,6,8,3,"lenient",21,"female","Chinese","jc",2,"mandarin","yes","no","computer","no","no"
40427,1,7,8,6,8,3,"strict",21,"female","Chinese","jc",2,"mandarin","yes","no","computer","no","no"
40437,1,5,3,5,5,3,"strict",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40437,1,5,3,5,5,3,"strict",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40437,1,5,3,5,5,3,"lenient",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40437,1,5,3,5,5,3,"lenient",20,"female","Chinese","jc",2,"Chinese","yes","no","computer","no","no"
40470,2,9,10,10,9,3,"strict",19,"prefer not","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40470,2,9,10,10,9,3,"strict",19,"prefer not","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40470,2,10,10,10,10,3,"lenient",19,"prefer not","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40470,2,10,10,10,10,3,"lenient",19,"prefer not","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40472,2,9,10,9,10,2,"strict",21,"male","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40472,2,9,10,9,10,2,"strict",21,"male","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40472,2,10,10,10,10,2,"lenient",21,"male","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40472,2,10,10,10,10,2,"lenient",21,"male","Chinese","jc",2,"Mandarin","yes","no","computer","no","no"
40477,2,9,9,10,9,3,"strict",20,"female","Chinese","jc",2,"chinese","yes","no","computer","yes","no"
40477,2,9,10,10,10,3,"lenient",20,"female","Chinese","jc",2,"chinese","yes","no","computer","yes","no"
40479,2,9,10,8,8,3,"strict",22,"male","Chinese","jc",2,"Chinese ","yes","no","computer","no","no"
40479,2,9,10,8,8,3,"strict",22,"male","Chinese","jc",2,"Chinese ","yes","no","computer","no","no"
40479,2,10,10,10,10,3,"lenient",22,"male","Chinese","jc",2,"Chinese ","yes","no","computer","no","no"
40479,2,10,10,10,10,3,"lenient",22,"male","Chinese","jc",2,"Chinese ","yes","no","computer","no","no"
40481,2,10,9,10,9,2,"strict",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40481,2,10,10,10,9,3,"lenient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40485,1,7,8,8,7,3,"strict",20,"female","Chinese","jc",3,"Chinese and Korean","yes","no","computer","not significant","no"
40485,1,7,8,8,7,3,"lenient",20,"female","Chinese","jc",3,"Chinese and Korean","yes","no","computer","not significant","no"
